CABra ID  	 32
ANA ID    	 15910000
Longitude 	 -67.387   	 dd
Latitude  	 -9.06     	 dd
Area      	 35801.6254	 km²
Elevation 	 217.4242  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the Xavier et al. (2016) dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   25.784	     22.277	     29.885	     91.716	      0.813	     12.773	    4.549	    2.807	    4.094	    3.088
 1980	     1	     2	   32.964	     22.310	     31.470	     90.704	      1.320	     19.598	    3.323	    3.862	    6.012	    4.824
 1980	     1	     3	    2.350	     22.215	     31.280	     89.750	      0.648	     17.424	    4.012	    3.357	    5.397	    4.275
 1980	     1	     4	   17.644	     21.912	     31.480	     87.107	      0.857	     15.580	    3.662	    3.161	    4.879	    3.818
 1980	     1	     5	   10.131	     21.649	     28.978	     92.546	      0.981	     10.949	    5.075	    2.165	    3.575	    2.600
 1980	     1	     6	   11.784	     20.864	     32.030	     86.288	      0.753	     18.662	    2.860	    4.245	    5.713	    4.548
 1980	     1	     7	    2.576	     22.122	     30.223	     89.934	      0.755	     10.964	    4.076	    2.388	    3.603	    2.656
 1980	     1	     8	   18.949	     21.800	     32.503	     81.127	      0.572	     17.203	    4.217	    3.689	    5.350	    4.260
 1980	     1	     9	   11.313	     21.690	     30.877	     86.864	      0.742	     13.282	    4.175	    2.463	    4.231	    3.225
 1980	     1	    10	   26.363	     21.257	     30.331	     88.653	      0.571	     14.476	    3.973	    2.590	    4.535	    3.476
 1980	     1	    11	    6.597	     21.554	     30.749	     86.400	      0.554	     12.982	    2.877	    3.344	    4.143	    3.143
 1980	     1	    12	   13.711	     22.486	     31.139	     89.455	      0.704	     14.823	    4.315	    3.036	    4.682	    3.642
 1980	     1	    13	   24.706	     22.302	     30.846	     89.021	      0.961	     13.208	    5.177	    2.846	    4.228	    3.228
 1980	     1	    14	    1.921	     22.058	     32.014	     83.477	      1.018	     16.518	    4.901	    3.695	    5.157	    4.079
 1980	     1	    15	    5.952	     22.705	     31.596	     86.812	      1.124	     15.227	    4.425	    3.664	    4.810	    3.770
 1980	     1	    16	   23.980	     22.010	     28.888	     92.634	      0.734	     10.720	    4.602	    2.158	    3.522	    2.554
 1980	     1	    17	    9.817	     21.629	     32.385	     86.173	      0.848	     17.728	    3.924	    3.745	    5.490	    4.375
 1980	     1	    18	   29.795	     22.213	     31.883	     88.180	      0.897	     15.090	    4.609	    3.365	    4.762	    3.728
 1980	     1	    19	   10.469	     22.497	     31.323	     91.574	      0.836	     12.806	    4.169	    2.869	    4.129	    3.154
 1980	     1	    20	   19.067	     21.968	     31.411	     85.274	      1.130	     16.239	    4.010	    3.483	    5.064	    3.979
 1980	     1	    21	   10.400	     22.113	     32.288	     85.270	      0.663	     22.451	    4.747	    4.175	    6.840	    5.565
 1980	     1	    22	    6.092	     22.225	     33.375	     88.959	      0.940	     19.416	    4.523	    3.839	    6.014	    4.877
 1980	     1	    23	    3.451	     22.156	     31.490	     88.280	      1.106	     16.332	    4.541	    3.581	    5.098	    4.014
 1980	     1	    24	   13.176	     21.900	     29.965	     90.455	      0.746	     11.347	    4.099	    2.493	    3.700	    2.733
