"Stations_id","Referenzjahr","Qualitaetsniveau","Objekt_id","Phase_id","Eintrittsdatum","Eintrittsdatum_QB","Date","Year","Month","Day","rad_global_apr","soil_moist_apr","precip_apr","temp_max_apr","temp_min_apr","Bundesland","Hoehe","Lon","Lat","Naturraumgruppe","Stationsname","Apfelbluete"
7521,2023,10,311,5,20230430,1,2023-04-30,2023,4,30,129.647796630859,97,66.9922409057617,11.6,2.7,"Schleswig-Holstein",25,9.8167,54.4333,"Schleswig-Holsteinisches Hügelland","Goosefeld ",120
7549,2023,10,311,5,20230507,1,2023-05-07,2023,5,7,128.886383056641,95.0183258056641,37,10.9982055664063,2.7,"Schleswig-Holstein",60,10.6667,54.1167,"Schleswig-Holsteinisches Hügelland","Süsel-Röbel ",127
7549,2024,10,311,5,20240425,1,2024-04-25,2024,4,25,107.176429748535,100,80,12.8982055664063,4.8,"Schleswig-Holstein",60,10.6667,54.1167,"Schleswig-Holsteinisches Hügelland","Süsel-Röbel ",115
7592,2023,10,311,5,20230502,1,2023-05-02,2023,5,2,121.450637817383,93,37.8039779663086,12.831315612793,2.572389793396,"Schleswig-Holstein",20,10.6333,53.4833,"Südwestliches Vorland der Mecklenburgischenseenplatte ","Büchen",122
7592,2024,10,311,5,20240413,1,2024-04-13,2024,4,13,110.332527160645,95,79.8039779663086,14.9723892211914,5.41960220336914,"Schleswig-Holstein",20,10.6333,53.4833,"Südwestliches Vorland der Mecklenburgischenseenplatte ","Büchen",103
7622,2023,10,311,5,20230429,1,2023-04-29,2023,4,29,132.444458007812,98,59.8505821228027,12.1,2.50599536895752,"Schleswig-Holstein",1,9.0667,54.5,"Schleswig-Holsteinische Geest ","Husum (Nord)",119
7622,2024,10,311,5,20240423,1,2024-04-23,2024,4,23,103.974952697754,104,114.485244750977,12.642529296875,4.60599555969238,"Schleswig-Holstein",1,9.0667,54.5,"Schleswig-Holsteinische Geest ","Husum (Nord)",113
7623,2023,10,311,5,20230430,1,2023-04-30,2023,4,30,133.570236206055,98,58,12.1,2.6,"Schleswig-Holstein",20,9.1333,54.6667,"Schleswig-Holsteinische Geest ","Joldelund (Ph)",120
7623,2024,10,311,5,20240416,1,2024-04-16,2024,4,16,103.204208374023,104,115.93147277832,12.8,4.6,"Schleswig-Holstein",20,9.1333,54.6667,"Schleswig-Holsteinische Geest ","Joldelund (Ph)",106
7624,2024,10,311,5,20240503,1,2024-05-03,2024,5,3,106.876327514648,104,78,12.9,5.4,"Schleswig-Holstein",3,8.65,54.5167,"Schleswig-Holsteinische Marschen (und Nordseeinseln)","Pellworm",123
7650,2023,10,311,5,20230505,1,2023-05-05,2023,5,5,128.635284423828,93.8692398071289,30.4932460784912,10.7221862792969,2.8,"Schleswig-Holstein",10,10.8167,54.1,"Schleswig-Holsteinisches Hügelland","Neustadt i. Holst.",125
7650,2024,10,311,5,20240414,1,2024-04-14,2024,4,14,108.31672668457,98.8692398071289,71.4028549194336,12.9131469726562,4.71314697265625,"Schleswig-Holstein",10,10.8167,54.1,"Schleswig-Holsteinisches Hügelland","Neustadt i. Holst.",104
7650,2025,1,311,5,20250424,1,2025-04-24,2025,4,24,138.889373779297,67,7.40285444259644,14.0860092163086,4.20903930664062,"Schleswig-Holstein",10,10.8167,54.1,"Schleswig-Holsteinisches Hügelland","Neustadt i. Holst.",114
7662,2023,10,311,5,20230421,1,2023-04-21,2023,4,21,120.503387451172,95,49,12.4,2.67444438934326,"Schleswig-Holstein",10,9.7833,53.7333,"Schleswig-Holsteinische Geest ","Ellerhoop ",111
7662,2024,10,311,5,20240407,1,2024-04-07,2024,4,7,102.71070098877,99,85,14.3,5.57444458007812,"Schleswig-Holstein",10,9.7833,53.7333,"Schleswig-Holsteinische Geest ","Ellerhoop ",97
7665,2023,10,311,5,20230426,1,2023-04-26,2023,4,26,121.814208984375,94,48.5619964599609,12.5173553466797,2.9,"Schleswig-Holstein",10,9.85,53.6333,"Schleswig-Holsteinische Geest ","Halstenbek",116
7682,2024,10,311,5,20240501,1,2024-05-01,2024,5,1,104.341468811035,101,73.0794219970703,12.8321273803711,5.14880867004395,"Schleswig-Holstein",50,10.5,54.3167,"Schleswig-Holsteinisches Hügelland","Giekau",121
7689,2025,1,311,5,20250428,1,2025-04-28,2025,4,28,135.483215332031,68.8139495849609,18.4716167449951,14.0222381591797,4.55366973876953,"Schleswig-Holstein",30,10.5833,54.3,"Schleswig-Holsteinisches Hügelland","Lütjenburg/Holst. ",118
7697,2023,10,311,5,20230509,1,2023-05-09,2023,5,9,126.173042297363,96,40,11.6662185668945,2.56621837615967,"Schleswig-Holstein",45,10.1667,54.1167,"Schleswig-Holsteinisches Hügelland","Wankendorf-Obendorf ",129
7697,2024,10,311,5,20240418,1,2024-04-18,2024,4,18,101.880989074707,101,90,13.1662185668945,4.96621856689453,"Schleswig-Holstein",45,10.1667,54.1167,"Schleswig-Holsteinisches Hügelland","Wankendorf-Obendorf ",108
